Pose Partition Network for Multi-Person Pose Estimation [Train and Val Phase]
Loading training json file: dataset/mpi/jsons/MPI_MP_TRAIN_annotations.json...
Finished loading training json file
Loading validation json file: dataset/mpi/jsons/MPI_MP_VAL_annotations.json...
Finished loading evaluation json file
Epoch: [3][520/615] 	CurLR: 0.003 	Loss 0.050665 (0.064476)	BatchTime 1.585 (1.624) 	
Epoch: [3][530/615] 	CurLR: 0.003 	Loss 0.049911 (0.064243)	BatchTime 1.607 (1.624) 	
Epoch: [3][540/615] 	CurLR: 0.003 	Loss 0.056039 (0.064047)	BatchTime 1.653 (1.624) 	
Epoch: [3][550/615] 	CurLR: 0.003 	Loss 0.047587 (0.063900)	BatchTime 1.641 (1.624) 	
Epoch: [3][560/615] 	CurLR: 0.003 	Loss 0.047097 (0.063552)	BatchTime 1.617 (1.624) 	
Epoch: [3][570/615] 	CurLR: 0.003 	Loss 0.044213 (0.063203)	BatchTime 1.720 (1.624) 	
Epoch: [3][580/615] 	CurLR: 0.003 	Loss 0.046715 (0.062940)	BatchTime 1.653 (1.623) 	
Epoch: [3][590/615] 	CurLR: 0.003 	Loss 0.043646 (0.062671)	BatchTime 1.546 (1.623) 	
Epoch: [3][600/615] 	CurLR: 0.003 	Loss 0.049809 (0.062350)	BatchTime 1.561 (1.623) 	
Epoch: [3][610/615] 	CurLR: 0.003 	Loss 0.042201 (0.062035)	BatchTime 1.695 (1.623) 	
Epoch: [4][1/615] 	CurLR: 0.003 	Loss 0.044552 (0.044552)	BatchTime 6.372 (6.372) 	
Epoch: [4][10/615] 	CurLR: 0.003 	Loss 0.040745 (0.045328)	BatchTime 1.636 (2.066) 	
Epoch: [4][20/615] 	CurLR: 0.003 	Loss 0.035819 (0.042497)	BatchTime 1.571 (1.836) 	
Epoch: [4][30/615] 	CurLR: 0.003 	Loss 0.046551 (0.043061)	BatchTime 1.584 (1.770) 	
Epoch: [4][40/615] 	CurLR: 0.003 	Loss 0.049576 (0.043487)	BatchTime 1.583 (1.732) 	
Epoch: [4][50/615] 	CurLR: 0.003 	Loss 0.039630 (0.043637)	BatchTime 1.597 (1.708) 	
Epoch: [4][60/615] 	CurLR: 0.003 	Loss 0.040938 (0.043516)	BatchTime 1.556 (1.690) 	
Epoch: [4][70/615] 	CurLR: 0.003 	Loss 0.047844 (0.043515)	BatchTime 1.570 (1.676) 	
Epoch: [4][80/615] 	CurLR: 0.003 	Loss 0.039043 (0.043357)	BatchTime 1.574 (1.670) 	
Epoch: [4][90/615] 	CurLR: 0.003 	Loss 0.041637 (0.043122)	BatchTime 1.562 (1.664) 	
Epoch: [4][100/615] 	CurLR: 0.003 	Loss 0.041617 (0.042794)	BatchTime 1.568 (1.658) 	
Epoch: [4][110/615] 	CurLR: 0.003 	Loss 0.046464 (0.042613)	BatchTime 1.572 (1.655) 	
Epoch: [4][120/615] 	CurLR: 0.003 	Loss 0.036701 (0.042682)	BatchTime 1.561 (1.652) 	
Epoch: [4][130/615] 	CurLR: 0.003 	Loss 0.033078 (0.042423)	BatchTime 1.613 (1.649) 	
